4335,ﾒﾀｱﾙﾃﾞﾋﾄﾞ粒剤,ﾅﾒｷｰﾙ,日本農薬株式会社,ﾒﾀｱﾙﾃﾞﾋﾄﾞ,ﾒﾀｱﾙﾃﾞﾋﾄﾞ,6.00%,1,殺虫剤,粒剤,4/30/1960,4/29/2017
4355,生石灰,ﾏﾙｶ印ﾎﾞﾙﾄﾞｰ液用生石灰,河合石灰工業株式会社,生石灰,生石灰,95.00%,1,その他,その他,4/30/1960,4/29/2017
4358,石灰硫黄合剤,余市組合石灰硫黄合剤,有限会社余市農産工業,石灰硫黄合剤,石灰硫黄合剤,27.50%,1,殺菌剤,その他,5/10/1960,5/9/2017
4406,硫黄粉剤,ｻﾝｹｲ硫黄粉剤50,ｻﾝｹｲ化学株式会社,硫黄,硫黄,50.00%,1,殺菌剤,粉剤,8/10/1960,8/9/2017
4407,硫黄･銅水和剤,ｻﾝｹｲ園芸ﾎﾞﾙﾄﾞｰ,ｻﾝｹｲ化学株式会社,硫黄,硫黄,25.00%,2,殺菌剤,水和剤,8/10/1960,8/9/2017
4407,硫黄･銅水和剤,ｻﾝｹｲ園芸ﾎﾞﾙﾄﾞｰ,ｻﾝｹｲ化学株式会社,塩基性塩化銅,銅,61.00%,2,殺菌剤,水和剤,8/10/1960,8/9/2017
4463,MPP乳剤,ﾊﾞｲｼﾞｯﾄ乳剤,ﾊﾞｲｴﾙｸﾛｯﾌﾟｻｲｴﾝｽ株式会社,MPP,MPP,50.00%,1,殺虫剤,乳剤,11/12/1960,11/11/2017
4617,生石灰,上州石灰ﾎﾞﾙﾄﾞｰ液用生石灰,有恒鉱業株式会社,生石灰,生石灰,95.00%,1,その他,その他,2/21/1961,2/20/2018
4803,ｼﾞﾒﾄｴｰﾄ乳剤,住化ｼﾞﾒﾄｴｰﾄ乳剤,住友化学株式会社,ｼﾞﾒﾄｴｰﾄ,ｼﾞﾒﾄｴｰﾄ,43.00%,1,殺虫剤,乳剤,6/14/1961,6/13/2018
4903,生石灰,ﾏﾙｺ印ﾎﾞﾙﾄﾞｰ液用生石灰,古手川産業株式会社,生石灰,生石灰,95.00%,1,その他,その他,10/20/1961,10/19/2018
4917,ｸﾏﾘﾝ系粉末,強力ﾛｰﾀﾞﾝ,ｻﾝｹﾐﾌｧ株式会社,ﾜﾙﾌｧﾘﾝ,ｸﾏﾘﾝ系,0.50%,1,殺そ剤,粉末,12/12/1961,12/11/2018
4951,展着剤,ﾀﾞｲﾝ,住友化学株式会社,ﾎﾟﾘｵｷｼｴﾁﾚﾝﾉﾆﾙﾌｪﾆﾙｴｰﾃﾙ,,20.00%,1,その他,その他,12/26/1961,12/25/2018
4951,展着剤,ﾀﾞｲﾝ,住友化学株式会社,ﾘｸﾞﾆﾝｽﾙﾎﾝ酸ｶﾙｼｳﾑ,,12.00%,1,その他,その他,12/26/1961,12/25/2018
4962,MEP乳剤,住化ｽﾐﾁｵﾝ乳剤,住友化学株式会社,MEP,MEP,50.00%,1,殺虫剤,乳剤,12/26/1961,12/25/2018
4982,MEP乳剤,日産ｽﾐﾁｵﾝ乳剤,日産化学工業株式会社,MEP,MEP,50.00%,1,殺虫剤,乳剤,2/10/1962,2/9/2019
4991,MEP乳剤,ﾎｸｺｰｽﾐﾁｵﾝ乳剤,北興化学工業株式会社,MEP,MEP,50.00%,1,殺虫剤,乳剤,2/10/1962,2/9/2019
5042,MEP乳剤,日農ｽﾐﾁｵﾝ乳剤,日本農薬株式会社,MEP,MEP,50.00%,1,殺虫剤,乳剤,3/19/1962,3/18/2019
5050,MEP乳剤,金鳥ｽﾐﾁｵﾝ乳剤,大日本除蟲菊株式会社,MEP,MEP,50.00%,1,殺虫剤,乳剤,3/19/1962,3/18/2019
5052,MEP乳剤,ｻﾝｹｲｽﾐﾁｵﾝ乳剤,ｻﾝｹｲ化学株式会社,MEP,MEP,50.00%,1,殺虫剤,乳剤,3/19/1962,3/18/2019
5129,NAC水和剤,日産ﾐｸﾛﾃﾞﾅﾎﾟﾝ水和剤85,日産化学工業株式会社,NAC,NAC,85.00%,1,殺虫剤,水和剤,4/21/1962,4/20/2019
5131,NAC水和剤,日農ﾐｸﾛﾃﾞﾅﾎﾟﾝ水和剤85,日本農薬株式会社,NAC,NAC,85.00%,1,殺虫剤,水和剤,4/21/1962,4/20/2019
5250,ｸﾛﾙﾋﾟｸﾘﾝ燻蒸剤,ﾄﾞﾛｸﾛｰﾙ,三井化学ｱｸﾞﾛ株式会社,ｸﾛﾙﾋﾟｸﾘﾝ,ｸﾛﾙﾋﾟｸﾘﾝ,80.00%,1,殺虫剤,くん蒸剤,5/28/1962,5/27/2019
